epoch, loss, acc, val_loss, val_acc
1, 0.48898011445999146, 0.8242166638374329, 0.36713314056396484, 0.8695999979972839
2, 0.34474465250968933, 0.8756666779518127, 0.3193189203739166, 0.8851000070571899
3, 0.31004440784454346, 0.8873000144958496, 0.29135361313819885, 0.8952999711036682
4, 0.28232356905937195, 0.8961666822433472, 0.27167364954948425, 0.8982999920845032
5, 0.25917312502861023, 0.9038666486740112, 0.26395183801651, 0.9010999798774719
6, 0.2426631897687912, 0.9106000065803528, 0.26019859313964844, 0.9039999842643738
7, 0.23133085668087006, 0.9146999716758728, 0.253237247467041, 0.906000018119812
8, 0.21592681109905243, 0.9197666645050049, 0.23992414772510529, 0.911300003528595
9, 0.20487017929553986, 0.923883318901062, 0.2339162826538086, 0.9161999821662903
10, 0.19537316262722015, 0.926883339881897, 0.25789085030555725, 0.9067000150680542
